order_id,user_id,product_id,quantity,total_price,payment_method,order_date
35,25124,8939,1,78.11,Credit Card,2023-04-24 16:41:25.566270
36,92544,2267,1,132.63,Apple Pay,2023-04-24 16:41:25.566270
37,7899,634,1,54.04,Apple Pay,2023-04-25 16:41:25.566270
38,36764,135,1,199.04,PayPal,2023-04-25 16:41:25.566270
39,68038,5211,1,100.28,Credit Card,2023-04-25 16:41:25.566270
40,35584,875,1,60.84,Apple Pay,2023-04-25 16:41:25.566270
41,48595,4838,1,150.55,Debit Card,2023-04-25 16:41:25.566270
42,37747,630,1,7.15,PayPal,2023-04-25 16:41:25.566270
43,42214,1741,1,51.82,Credit Card,2023-04-25 16:41:25.566270
44,13127,3272,1,5.0,Debit Card,2023-04-25 16:41:25.566270
45,86201,4992,1,18.21,PayPal,2023-04-25 16:41:25.566270
46,84337,2858,1,85.86,Apple Pay,2023-04-25 16:41:25.566270
47,63607,7557,1,126.11,PayPal,2023-04-25 16:41:25.566270
48,19453,837,1,60.43,Credit Card,2023-04-25 16:41:25.566270
49,42813,2342,1,29.65,PayPal,2023-04-25 16:41:25.566270
50,60068,2117,3,315.75,Credit Card,2023-04-25 16:41:25.566270
51,33813,6536,1,319.42,Credit Card,2023-04-25 16:41:25.566270
52,43136,6650,1,5.0,Apple Pay,2023-04-25 16:41:25.566270
53,37282,3554,1,111.65,Credit Card,2023-04-25 16:41:25.566270
54,47188,2569,1,45.56,Debit Card,2023-04-25 16:41:25.566270
55,36401,6456,3,335.34000000000003,Apple Pay,2023-04-25 16:41:25.566270
56,15072,815,2,436.26,PayPal,2023-04-25 16:41:25.566270
57,88818,8901,1,15.7,Apple Pay,2023-04-25 16:41:25.566270
58,21859,8294,1,194.01,Apple Pay,2023-04-25 16:41:25.566270
59,40160,1596,1,13.42,Debit Card,2023-04-26 16:41:25.566270
60,88385,7749,1,33.04,Apple Pay,2023-04-26 16:41:25.566270
61,30708,9896,1,88.03,Debit Card,2023-04-26 16:41:25.566270
62,7202,1886,1,29.31,Apple Pay,2023-04-26 16:41:25.566270
63,94731,500,2,483.22,PayPal,2023-04-26 16:41:25.566270
64,71750,5791,4,775.68,Apple Pay,2023-04-26 16:41:25.566270
65,93682,1740,4,599.6,Debit Card,2023-04-26 16:41:25.566270
66,7245,7484,1,65.01,Debit Card,2023-04-26 16:41:25.566270
67,32051,2445,1,5.37,Credit Card,2023-04-26 16:41:25.566270
68,83769,6617,1,54.27,PayPal,2023-04-26 16:41:25.566270
69,78016,4458,1,120.87,Debit Card,2023-04-26 16:41:25.566270
70,30936,243,1,325.22,Apple Pay,2023-04-26 16:41:25.566270
71,82177,4074,1,159.97,Debit Card,2023-04-26 16:41:25.566270
72,93649,5313,2,16.04,Debit Card,2023-04-26 16:41:25.566270
73,83895,53,1,61.5,PayPal,2023-04-26 16:41:25.566270
74,98638,6654,1,21.7,Debit Card,2023-04-26 16:41:25.566270
75,1686,6980,1,314.65,PayPal,2023-04-27 16:41:25.566270
76,83085,4058,1,45.63,Credit Card,2023-04-27 16:41:25.566270
77,44276,6749,1,74.07,Debit Card,2023-04-27 16:41:25.566270
78,36298,2296,1,5.0,Apple Pay,2023-04-27 16:41:25.566270
79,8857,4511,1,43.03,Debit Card,2023-04-27 16:41:25.566270
80,92541,7139,1,65.89,PayPal,2023-04-27 16:41:25.566270
81,41435,4972,1,156.78,Debit Card,2023-04-27 16:41:25.566270
82,73831,565,1,17.66,Debit Card,2023-04-27 16:41:25.566270
83,28167,3855,1,160.52,Apple Pay,2023-04-27 16:41:25.566270
84,52908,1501,1,15.86,Debit Card,2023-04-27 16:41:25.566270
85,56222,9467,1,166.72,Apple Pay,2023-04-27 16:41:25.566270
86,79127,5443,1,369.03,Apple Pay,2023-04-27 16:41:25.566270
87,89815,3704,1,50.16,PayPal,2023-04-28 16:41:25.566270
88,72644,4932,1,270.04,Apple Pay,2023-04-28 16:41:25.566270
89,90246,4500,1,124.25,Apple Pay,2023-04-28 16:41:25.566270
90,74863,2649,1,290.65,Debit Card,2023-04-28 16:41:25.566270
91,83203,9665,1,42.41,Debit Card,2023-04-28 16:41:25.566270
92,82722,10000,1,96.68,Credit Card,2023-04-28 16:41:25.566270
93,45367,4352,4,1198.44,Apple Pay,2023-04-28 16:41:25.566270
94,44772,2443,1,71.21,Debit Card,2023-04-28 16:41:25.566270
95,10391,2094,4,258.32,PayPal,2023-04-28 16:41:25.566270
96,63725,3716,3,333.27,PayPal,2023-04-28 16:41:25.566270
97,18267,6982,1,66.9,Apple Pay,2023-04-28 16:41:25.566270
98,28536,7769,1,12.13,Apple Pay,2023-04-28 16:41:25.566270
99,96783,5367,1,21.02,Apple Pay,2023-04-28 16:41:25.566270
100,70827,994,1,203.16,Credit Card,2023-04-28 16:41:25.566270
101,84206,3347,1,43.54,Debit Card,2023-04-28 16:41:25.566270
102,69026,2822,1,96.3,PayPal,2023-04-28 16:41:25.566270
103,498,7524,1,161.25,Debit Card,2023-04-28 16:41:25.566270
104,83646,5933,1,7.98,Credit Card,2023-04-28 16:41:25.566270
105,87237,2674,2,337.9,Credit Card,2023-04-29 16:41:25.566270
106,23616,4639,1,120.37,Apple Pay,2023-04-29 16:41:25.566270
107,74347,3561,1,98.24,Apple Pay,2023-04-29 16:41:25.566270
108,82902,1503,1,98.7,Apple Pay,2023-04-29 16:41:25.566270
109,73694,8656,1,103.93,Apple Pay,2023-04-29 16:41:25.566270
110,37526,9894,1,26.8,Apple Pay,2023-04-29 16:41:25.566270
111,58682,8360,3,40.11,Apple Pay,2023-04-29 16:41:25.566270
112,45122,2954,1,64.51,PayPal,2023-04-29 16:41:25.566270
113,28106,6787,1,42.15,Credit Card,2023-04-29 16:41:25.566270
114,99698,9645,1,167.9,Debit Card,2023-04-29 16:41:25.566270
115,28126,6737,1,39.24,PayPal,2023-04-29 16:41:25.566270
116,95531,7067,1,88.11,Credit Card,2023-04-29 16:41:25.566270
117,26815,523,1,43.67,Debit Card,2023-04-29 16:41:25.566270
118,97977,940,1,82.69,Apple Pay,2023-04-29 16:41:25.566270
119,85005,129,1,37.09,PayPal,2023-04-29 16:41:25.566270
120,2191,3249,1,247.94,Credit Card,2023-04-29 16:41:25.566270
121,38297,851,1,226.15,Debit Card,2023-04-29 16:41:25.566270
122,6791,429,1,87.2,Credit Card,2023-04-30 16:41:25.566270
123,57816,4911,1,112.47,Credit Card,2023-04-30 16:41:25.566270
124,45446,8902,1,37.59,PayPal,2023-04-30 16:41:25.566270
125,53065,2854,1,194.09,Credit Card,2023-04-30 16:41:25.566270
126,56974,63,1,215.94,PayPal,2023-04-30 16:41:25.566270
127,59154,2906,4,266.04,Credit Card,2023-04-30 16:41:25.566270
128,49818,1039,1,29.43,Apple Pay,2023-04-30 16:41:25.566270
129,96478,8878,1,5.0,Apple Pay,2023-04-30 16:41:25.566270
130,93699,5302,1,70.54,Credit Card,2023-04-30 16:41:25.566270
131,73945,9087,1,48.11,Credit Card,2023-04-30 16:41:25.566270
132,34167,6304,3,211.68,PayPal,2023-04-30 16:41:25.566270
133,81566,5232,2,57.2,Debit Card,2023-04-30 16:41:25.566270
134,940,3754,2,170.7,Apple Pay,2023-04-30 16:41:25.566270
135,13067,70,1,56.67,PayPal,2023-04-30 16:41:25.566270
136,60458,5510,1,133.62,Credit Card,2023-04-30 16:41:25.566270
137,54294,9497,1,246.4,Credit Card,2023-04-30 16:41:25.566270
138,89470,1199,1,179.56,Apple Pay,2023-04-30 16:41:25.566270
139,32590,3488,1,29.72,Debit Card,2023-04-30 16:41:25.566270
140,12884,3348,1,105.0,PayPal,2023-04-30 16:41:25.566270
141,31269,7474,1,48.08,Credit Card,2023-05-01 16:41:25.566270
142,31386,8383,1,5.0,PayPal,2023-05-01 16:41:25.566270
143,9023,4075,4,111.12,Credit Card,2023-05-01 16:41:25.566270
144,38338,2966,1,127.04,Credit Card,2023-05-01 16:41:25.566270
145,11548,8436,1,77.29,PayPal,2023-05-01 16:41:25.566270
146,88260,3916,3,179.79,Debit Card,2023-05-01 16:41:25.566270
147,15978,6835,1,8.83,PayPal,2023-05-01 16:41:25.566270
148,31323,2903,3,40.89,PayPal,2023-05-01 16:41:25.566270
149,6596,2631,1,136.06,PayPal,2023-05-01 16:41:25.566270
150,19581,8270,1,110.98,Debit Card,2023-05-01 16:41:25.566270
151,66846,4327,1,163.34,Credit Card,2023-05-01 16:41:25.566270
152,51106,6649,1,136.26,Credit Card,2023-05-01 16:41:25.566270
153,41966,4307,1,152.87,Apple Pay,2023-05-01 16:41:25.566270
154,4280,7366,4,247.8,PayPal,2023-05-01 16:41:25.566270
155,87976,916,5,227.89999999999998,Debit Card,2023-05-01 16:41:25.566270
156,27913,4366,1,57.05,PayPal,2023-05-02 16:41:25.566270
157,59843,1359,1,305.58,Debit Card,2023-05-02 16:41:25.566270
158,30799,9110,1,230.55,Debit Card,2023-05-02 16:41:25.566270
159,15511,8334,1,95.25,PayPal,2023-05-02 16:41:25.566270
160,79987,3223,1,251.61,Debit Card,2023-05-02 16:41:25.566270
161,35809,7382,1,6.67,Credit Card,2023-05-02 16:41:25.566270
162,14863,349,2,86.16,PayPal,2023-05-02 16:41:25.566270
163,71587,8733,5,621.45,Credit Card,2023-05-02 16:41:25.566270
164,52856,2901,2,238.4,PayPal,2023-05-02 16:41:25.566270
165,40029,986,1,148.05,Debit Card,2023-05-02 16:41:25.566270
166,10285,7526,1,126.31,PayPal,2023-05-02 16:41:25.566270
167,83447,2194,1,69.29,Credit Card,2023-05-02 16:41:25.566270
168,61983,3033,1,22.48,PayPal,2023-05-02 16:41:25.566270
169,76152,3508,1,5.0,Apple Pay,2023-05-02 16:41:25.566270
170,31198,561,1,5.0,PayPal,2023-05-02 16:41:25.566270
171,43646,370,1,235.22,Credit Card,2023-05-02 16:41:25.566270
172,99834,8240,1,79.95,Credit Card,2023-05-02 16:41:25.566270
173,2854,2152,1,99.32,PayPal,2023-05-02 16:41:25.566270
174,6039,8850,1,239.01,Debit Card,2023-05-02 16:41:25.566270
175,30229,2446,1,301.87,Debit Card,2023-05-03 16:41:25.566270
176,69039,1637,1,139.85,PayPal,2023-05-03 16:41:25.566270
177,11125,5727,3,126.12,Debit Card,2023-05-03 16:41:25.566270
178,76480,4521,2,398.74,Debit Card,2023-05-03 16:41:25.566270
179,76840,1681,1,72.22,Credit Card,2023-05-03 16:41:25.566270
180,97317,3521,1,67.84,Debit Card,2023-05-03 16:41:25.566270
181,15112,6448,1,39.95,Apple Pay,2023-05-03 16:41:25.566270
182,46820,3377,1,21.56,Credit Card,2023-05-03 16:41:25.566270
183,11895,2916,1,142.76,PayPal,2023-05-03 16:41:25.566270
184,25235,3626,5,1233.0500000000002,Credit Card,2023-05-03 16:41:25.566270
185,93894,1988,1,255.28,Credit Card,2023-05-03 16:41:25.566270
186,73172,1435,1,80.28,PayPal,2023-05-04 16:41:25.566270
187,83547,1813,1,243.55,PayPal,2023-05-04 16:41:25.566270
188,33104,5689,1,93.59,Apple Pay,2023-05-04 16:41:25.566270
189,59748,4384,2,312.28,Credit Card,2023-05-04 16:41:25.566270
190,78732,568,3,48.480000000000004,Apple Pay,2023-05-04 16:41:25.566270
191,11411,5841,1,19.06,Debit Card,2023-05-04 16:41:25.566270
192,610,5116,3,91.59,Credit Card,2023-05-04 16:41:25.566270
193,93289,1726,2,246.68,Credit Card,2023-05-04 16:41:25.566270
194,94502,5403,1,12.47,PayPal,2023-05-04 16:41:25.566270
195,83586,3507,1,25.33,Apple Pay,2023-05-04 16:41:25.566270
196,99024,5760,2,598.92,Credit Card,2023-05-04 16:41:25.566270
197,28984,953,1,135.6,Credit Card,2023-05-04 16:41:25.566270
198,38945,1393,2,201.04,Apple Pay,2023-05-05 16:41:25.566270
199,2547,264,1,137.69,PayPal,2023-05-05 16:41:25.566270
200,32319,6930,1,97.8,Credit Card,2023-05-05 16:41:25.566270
201,53565,3970,5,80.64999999999999,Debit Card,2023-05-05 16:41:25.566270
202,59091,6089,3,466.08000000000004,PayPal,2023-05-05 16:41:25.566270
203,74347,9303,1,52.1,Apple Pay,2023-05-05 16:41:25.566270
204,22772,4415,1,64.71,Debit Card,2023-05-05 16:41:25.566270
205,17542,1100,1,71.28,PayPal,2023-05-05 16:41:25.566270
206,4438,2720,1,65.28,PayPal,2023-05-05 16:41:25.566270
207,19918,939,1,209.05,Debit Card,2023-05-05 16:41:25.566270
208,34550,4689,1,215.02,Apple Pay,2023-05-05 16:41:25.566270
209,25486,9817,1,55.73,Apple Pay,2023-05-05 16:41:25.566270
210,56371,2937,1,25.36,Debit Card,2023-05-05 16:41:25.566270
211,16460,4784,1,15.61,Debit Card,2023-05-05 16:41:25.566270
212,9679,10,1,315.21,PayPal,2023-05-05 16:41:25.566270
213,61532,8706,1,94.02,Debit Card,2023-05-05 16:41:25.566270
214,426,3033,1,22.48,Apple Pay,2023-05-05 16:41:25.566270
215,26585,9010,2,37.58,PayPal,2023-05-05 16:41:25.566270
216,12990,1501,1,15.86,PayPal,2023-05-06 16:41:25.566270
217,34895,9622,1,360.42,Credit Card,2023-05-06 16:41:25.566270
218,55878,940,2,165.38,Debit Card,2023-05-06 16:41:25.566270
219,1005,8463,1,46.24,Credit Card,2023-05-06 16:41:25.566270
220,62816,7357,3,336.33,PayPal,2023-05-06 16:41:25.566270
221,70531,5268,1,38.18,Credit Card,2023-05-06 16:41:25.566270
222,15721,1792,1,21.39,Credit Card,2023-05-06 16:41:25.566270
223,98320,9101,1,54.71,PayPal,2023-05-06 16:41:25.566270
224,15387,160,4,255.32,Credit Card,2023-05-06 16:41:25.566270
225,9194,3119,1,11.82,Apple Pay,2023-05-06 16:41:25.566270
226,64437,1997,3,168.93,Apple Pay,2023-05-06 16:41:25.566270
227,51846,8028,1,72.99,Debit Card,2023-05-06 16:41:25.566270
228,18309,184,3,315.84000000000003,Debit Card,2023-05-06 16:41:25.566270
229,51469,9824,1,5.18,Credit Card,2023-05-06 16:41:25.566270
230,72896,1403,1,24.72,Apple Pay,2023-05-06 16:41:25.566270
231,76246,6232,1,123.01,Debit Card,2023-05-07 16:41:25.566270
232,25005,6144,1,143.55,Credit Card,2023-05-07 16:41:25.566270
233,55656,6091,1,73.18,Debit Card,2023-05-07 16:41:25.566270
234,23388,7306,1,10.47,Credit Card,2023-05-07 16:41:25.566270
235,92023,6749,2,148.14,PayPal,2023-05-07 16:41:25.566270
236,33208,1097,1,51.29,Debit Card,2023-05-07 16:41:25.566270
237,60962,413,1,38.57,Credit Card,2023-05-07 16:41:25.566270
238,65107,9466,1,492.91,Credit Card,2023-05-07 16:41:25.566270
239,76223,9507,5,93.4,Apple Pay,2023-05-07 16:41:25.566270
240,44044,2018,1,5.0,PayPal,2023-05-07 16:41:25.566270
241,75906,2030,4,251.64,Apple Pay,2023-05-07 16:41:25.566270
242,60686,2903,2,27.26,PayPal,2023-05-07 16:41:25.566270
243,74745,9247,4,175.72,Apple Pay,2023-05-07 16:41:25.566270
244,59094,698,1,424.09,Credit Card,2023-05-07 16:41:25.566270
245,55179,6455,1,57.36,Apple Pay,2023-05-07 16:41:25.566270
246,99217,5262,1,102.27,Debit Card,2023-05-08 16:41:25.566270
247,33244,682,1,196.9,Debit Card,2023-05-08 16:41:25.566270
248,34907,4192,1,188.26,Apple Pay,2023-05-08 16:41:25.566270
249,2776,3530,1,73.67,Apple Pay,2023-05-08 16:41:25.566270
250,63035,9579,2,56.6,PayPal,2023-05-08 16:41:25.566270
251,15980,4022,1,476.44,Debit Card,2023-05-08 16:41:25.566270
252,18887,6036,1,12.5,PayPal,2023-05-08 16:41:25.566270
253,85904,685,1,200.26,Apple Pay,2023-05-08 16:41:25.566270
254,54557,9010,1,18.79,Credit Card,2023-05-08 16:41:25.566270
255,47410,3842,1,5.0,PayPal,2023-05-08 16:41:25.566270
256,68169,7991,1,184.38,Debit Card,2023-05-08 16:41:25.566270
257,78958,9542,1,303.01,PayPal,2023-05-08 16:41:25.566270
258,99853,1458,1,54.17,PayPal,2023-05-08 16:41:25.566270
259,76922,3530,1,73.67,Apple Pay,2023-05-08 16:41:25.566270
260,14900,683,2,64.34,Apple Pay,2023-05-08 16:41:25.566270
261,13877,9852,2,165.7,Credit Card,2023-05-08 16:41:25.566270
262,91879,6181,1,239.45,PayPal,2023-05-08 16:41:25.566270
263,71147,1794,1,49.25,Debit Card,2023-05-08 16:41:25.566270
264,11297,9579,1,28.3,Apple Pay,2023-05-08 16:41:25.566270
265,68713,7000,1,107.59,Credit Card,2023-05-08 16:41:25.566270
266,63636,3185,1,92.28,PayPal,2023-05-08 16:41:25.566270
267,75145,4898,1,67.92,Debit Card,2023-05-08 16:41:25.566270
268,12072,4022,1,476.44,Credit Card,2023-05-08 16:41:25.566270
269,25,1365,2,126.66,Credit Card,2023-05-09 16:41:25.566270
270,66189,656,1,41.19,PayPal,2023-05-09 16:41:25.566270
271,96491,444,1,90.82,Debit Card,2023-05-09 16:41:25.566270
272,95927,6655,1,39.1,Apple Pay,2023-05-09 16:41:25.566270
273,11548,819,1,12.07,PayPal,2023-05-09 16:41:25.566270
274,70491,5856,4,1074.2,Credit Card,2023-05-09 16:41:25.566270
275,47460,3099,1,26.07,Debit Card,2023-05-09 16:41:25.566270
276,63199,1007,1,11.06,PayPal,2023-05-09 16:41:25.566270
277,44508,968,1,117.58,Debit Card,2023-05-09 16:41:25.566270
278,80807,2198,1,118.28,Debit Card,2023-05-09 16:41:25.566270
279,65434,6466,1,165.1,Apple Pay,2023-05-09 16:41:25.566270
280,1342,9417,2,29.94,PayPal,2023-05-09 16:41:25.566270
281,43503,9506,1,5.0,Debit Card,2023-05-09 16:41:25.566270
282,95306,1368,1,156.52,Credit Card,2023-05-09 16:41:25.566270
283,15965,5270,1,617.02,Apple Pay,2023-05-09 16:41:25.566270
284,59348,1863,1,57.16,Debit Card,2023-05-09 16:41:25.566270
285,88149,3945,1,71.46,Apple Pay,2023-05-09 16:41:25.566270
286,12087,6209,1,70.39,PayPal,2023-05-10 16:41:25.566270
287,78607,6556,1,41.0,Credit Card,2023-05-10 16:41:25.566270
288,22762,2935,2,239.04,PayPal,2023-05-10 16:41:25.566270
289,12008,5467,1,144.37,Apple Pay,2023-05-10 16:41:25.566270
290,65022,8199,1,104.52,Apple Pay,2023-05-10 16:41:25.566270
291,25947,6587,1,142.98,Apple Pay,2023-05-10 16:41:25.566270
292,88682,5508,1,7.76,Apple Pay,2023-05-10 16:41:25.566270
293,92406,7841,1,302.22,PayPal,2023-05-10 16:41:25.566270
294,98723,5409,2,295.16,Apple Pay,2023-05-10 16:41:25.566270
295,57354,7231,1,250.55,Apple Pay,2023-05-10 16:41:25.566270
296,87649,9295,1,80.24,Debit Card,2023-05-10 16:41:25.566270
297,55798,9061,1,8.05,Debit Card,2023-05-10 16:41:25.566270
298,70146,5174,1,11.84,PayPal,2023-05-10 16:41:25.566270
299,88237,161,1,79.11,PayPal,2023-05-10 16:41:25.566270
300,31795,3732,1,35.37,PayPal,2023-05-10 16:41:25.566270
301,82190,9338,1,42.22,Apple Pay,2023-05-10 16:41:25.566270
302,50409,6289,1,52.59,Credit Card,2023-05-10 16:41:25.566270
303,64391,2578,2,612.14,PayPal,2023-05-10 16:41:25.566270
304,23050,8689,1,126.15,PayPal,2023-05-10 16:41:25.566270
305,28313,139,1,5.0,PayPal,2023-05-11 16:41:25.566270
306,87311,5002,1,101.44,PayPal,2023-05-11 16:41:25.566270
307,99582,1828,2,130.48,Debit Card,2023-05-11 16:41:25.566270
308,72158,2617,1,41.18,Credit Card,2023-05-11 16:41:25.566270
309,61839,5904,1,21.66,Apple Pay,2023-05-11 16:41:25.566270
310,70001,4162,2,195.96,Apple Pay,2023-05-11 16:41:25.566270
311,15831,4170,1,93.96,Debit Card,2023-05-11 16:41:25.566270
312,31379,139,1,5.0,Credit Card,2023-05-11 16:41:25.566270
313,96394,4654,1,18.26,Credit Card,2023-05-11 16:41:25.566270
314,6805,7558,1,170.25,Credit Card,2023-05-11 16:41:25.566270
315,66220,3531,2,10.74,PayPal,2023-05-11 16:41:25.566270
316,67677,8249,1,5.02,Apple Pay,2023-05-11 16:41:25.566270
317,246,7673,4,80.52,Apple Pay,2023-05-11 16:41:25.566270
318,86141,7679,1,128.97,PayPal,2023-05-11 16:41:25.566270
319,11929,217,3,39.089999999999996,PayPal,2023-05-11 16:41:25.566270
320,42104,7480,1,5.39,Debit Card,2023-05-11 16:41:25.566270
321,12491,2428,2,59.5,Apple Pay,2023-05-11 16:41:25.566270
322,91518,2688,1,212.31,PayPal,2023-05-11 16:41:25.566270
323,14725,8510,1,52.4,Apple Pay,2023-05-11 16:41:25.566270
324,44475,3449,1,13.49,Apple Pay,2023-05-11 16:41:25.566270
325,99249,5138,2,157.2,Debit Card,2023-05-12 16:41:25.566270
326,63549,3154,1,16.56,Debit Card,2023-05-12 16:41:25.566270
327,76560,3713,2,27.36,PayPal,2023-05-12 16:41:25.566270
328,50827,4184,3,112.62,Credit Card,2023-05-12 16:41:25.566270
329,3358,5179,2,74.0,Debit Card,2023-05-12 16:41:25.566270
330,75582,3301,1,143.66,Apple Pay,2023-05-12 16:41:25.566270
331,89090,4909,2,567.32,Debit Card,2023-05-12 16:41:25.566270
332,91778,6344,1,137.34,Apple Pay,2023-05-12 16:41:25.566270
333,54406,8812,1,45.0,PayPal,2023-05-12 16:41:25.566270
334,20122,8274,1,208.8,PayPal,2023-05-12 16:41:25.566270
335,704,991,1,56.78,Credit Card,2023-05-12 16:41:25.566270
336,72209,8032,1,59.99,Apple Pay,2023-05-12 16:41:25.566270
337,77738,2779,1,16.02,Apple Pay,2023-05-12 16:41:25.566270
338,7124,4933,1,7.25,Debit Card,2023-05-12 16:41:25.566270
339,99915,2053,4,1101.52,Apple Pay,2023-05-12 16:41:25.566270
340,50188,2879,1,147.52,PayPal,2023-05-12 16:41:25.566270
341,91340,3353,1,296.6,Debit Card,2023-05-12 16:41:25.566270
342,89743,500,1,241.61,Credit Card,2023-05-12 16:41:25.566270
343,15460,8876,1,29.08,Debit Card,2023-05-13 16:41:25.566270
344,4672,9120,1,122.7,Credit Card,2023-05-13 16:41:25.566270
345,47722,8656,2,207.86,Apple Pay,2023-05-13 16:41:25.566270
346,80518,2099,1,123.24,Debit Card,2023-05-13 16:41:25.566270
347,79223,4396,1,147.36,PayPal,2023-05-13 16:41:25.566270
348,54431,3126,5,25.0,Debit Card,2023-05-13 16:41:25.566270
349,42525,6669,1,129.78,Credit Card,2023-05-13 16:41:25.566270
350,34484,7209,1,35.34,Credit Card,2023-05-13 16:41:25.566270
351,41925,3821,1,126.61,Debit Card,2023-05-13 16:41:25.566270
352,57649,1210,4,241.56,Debit Card,2023-05-13 16:41:25.566270
353,41812,5839,1,41.76,PayPal,2023-05-13 16:41:25.566270
354,6747,6816,1,83.61,Debit Card,2023-05-13 16:41:25.566270
355,60824,6153,1,51.11,Debit Card,2023-05-13 16:41:25.566270
356,32419,3982,2,381.06,PayPal,2023-05-13 16:41:25.566270
357,91180,2576,1,68.47,Credit Card,2023-05-13 16:41:25.566270
358,36846,7692,1,147.21,PayPal,2023-05-13 16:41:25.566270
359,20248,6481,3,451.08000000000004,Apple Pay,2023-05-13 16:41:25.566270
360,91187,8436,1,77.29,Apple Pay,2023-05-13 16:41:25.566270
361,20506,3113,1,5.0,Credit Card,2023-05-13 16:41:25.566270
362,22445,3211,1,173.21,Debit Card,2023-05-13 16:41:25.566270
363,76876,3377,1,21.56,Credit Card,2023-05-13 16:41:25.566270
364,4499,4366,1,57.05,Debit Card,2023-05-14 16:41:25.566270
365,49567,5535,1,7.89,PayPal,2023-05-14 16:41:25.566270
366,87924,5640,1,43.63,Apple Pay,2023-05-14 16:41:25.566270
367,63057,5117,1,61.05,Credit Card,2023-05-14 16:41:25.566270
368,61970,3998,1,121.93,Apple Pay,2023-05-14 16:41:25.566270
369,18420,8444,1,40.86,Debit Card,2023-05-14 16:41:25.566270
370,23358,5975,1,5.0,Apple Pay,2023-05-14 16:41:25.566270
371,63482,6489,1,44.72,Credit Card,2023-05-14 16:41:25.566270
372,4426,1576,1,30.83,Debit Card,2023-05-14 16:41:25.566270
373,57938,4792,2,53.3,PayPal,2023-05-14 16:41:25.566270
374,44034,7359,1,311.17,Credit Card,2023-05-14 16:41:25.566270
375,17653,8052,1,144.6,Credit Card,2023-05-14 16:41:25.566270
376,18594,6394,1,55.2,Credit Card,2023-05-14 16:41:25.566270
377,62586,856,1,121.44,Debit Card,2023-05-14 16:41:25.566270
378,50221,176,1,608.21,Credit Card,2023-05-14 16:41:25.566270
379,76384,7612,1,47.22,Apple Pay,2023-05-14 16:41:25.566270
380,73527,7746,1,283.05,PayPal,2023-05-14 16:41:25.566270
381,36292,6265,4,465.4,PayPal,2023-05-14 16:41:25.566270
382,56680,8695,1,31.27,PayPal,2023-05-14 16:41:25.566270
383,37387,3110,1,14.93,Credit Card,2023-05-14 16:41:25.566270
384,37749,3381,1,23.1,Apple Pay,2023-05-14 16:41:25.566270
385,1487,4161,1,49.93,Apple Pay,2023-05-14 16:41:25.566270
386,10621,2744,1,30.29,Credit Card,2023-05-15 16:41:25.566270
387,38243,34,1,5.0,Credit Card,2023-05-15 16:41:25.566270
